Branch id: 236, fromBus id: 69, toBus id: 77, flow2capratio: 0.39321307109850523
Branch id: 210, fromBus id: 49, toBus id: 69, flow2capratio: 0.3714959517511634
Branch id: 237, fromBus id: 77, toBus id: 69, flow2capratio: 0.36427816378065664
Branch id: 271, fromBus id: 89, toBus id: 85, flow2capratio: 0.31697700549906993
Branch id: 139, fromBus id: 50, toBus id: 49, flow2capratio: 0.2553311370025564
Branch id: 244, fromBus id: 77, toBus id: 80, flow2capratio: 0.2499197166574645
Branch id: 302, fromBus id: 80, toBus id: 98, flow2capratio: 0.23556322442677985
Branch id: 314, fromBus id: 98, toBus id: 100, flow2capratio: 0.23556322442677957
Branch id: 136, fromBus id: 48, toBus id: 49, flow2capratio: 0.2294558935395793
Branch id: 346, fromBus id: 103, toBus id: 110, flow2capratio: 0.21710291929343042
Branch id: 257, fromBus id: 83, toBus id: 82, flow2capratio: 0.2048179756544988
Branch id: 5, fromBus id: 5, toBus id: 4, flow2capratio: 0.2027126759099391
Branch id: 69, fromBus id: 29, toBus id: 28, flow2capratio: 0.19968197448988753
Branch id: 167, fromBus id: 59, toBus id: 54, flow2capratio: 0.19235624394509585
Branch id: 175, fromBus id: 60, toBus id: 59, flow2capratio: 0.19235624394509576
Branch id: 255, fromBus id: 82, toBus id: 77, flow2capratio: 0.19030147448831763
Branch id: 315, fromBus id: 100, toBus id: 98, flow2capratio: 0.18251123290905022
Branch id: 303, fromBus id: 98, toBus id: 80, flow2capratio: 0.18251123290905022
Branch id: 265, fromBus id: 86, toBus id: 85, flow2capratio: 0.1811088937748216
Branch id: 211, fromBus id: 69, toBus id: 49, flow2capratio: 0.17493384865766567
Branch id: 324, fromBus id: 100, toBus id: 103, flow2capratio: 0.1731594214030738
Branch id: 205, fromBus id: 67, toBus id: 66, flow2capratio: 0.1689841043531392
Branch id: 261, fromBus id: 85, toBus id: 83, flow2capratio: 0.16865955791928297
Branch id: 246, fromBus id: 77, toBus id: 80, flow2capratio: 0.16615780156281712
Branch id: 300, fromBus id: 80, toBus id: 97, flow2capratio: 0.16396921284692423
Branch id: 289, fromBus id: 94, toBus id: 92, flow2capratio: 0.15694083992982494
Branch id: 325, fromBus id: 103, toBus id: 100, flow2capratio: 0.1528334798167731
Branch id: 263, fromBus id: 85, toBus id: 84, flow2capratio: 0.15088390623441966
Branch id: 128, fromBus id: 47, toBus id: 49, flow2capratio: 0.1475387484256089
Branch id: 20, fromBus id: 5, toBus id: 11, flow2capratio: 0.14480212370452933
Branch id: 264, fromBus id: 85, toBus id: 86, flow2capratio: 0.14289605400348257
Branch id: 256, fromBus id: 82, toBus id: 83, flow2capratio: 0.14289605400348257
Branch id: 254, fromBus id: 77, toBus id: 82, flow2capratio: 0.14289605400348257
Branch id: 24, fromBus id: 2, toBus id: 12, flow2capratio: 0.13307615104334558
Branch id: 294, fromBus id: 80, toBus id: 96, flow2capratio: 0.13260047088856677
Branch id: 191, fromBus id: 65, toBus id: 38, flow2capratio: 0.1314288815860542
Branch id: 107, fromBus id: 38, toBus id: 30, flow2capratio: 0.12859594372529873
Branch id: 369, fromBus id: 118, toBus id: 75, flow2capratio: 0.12779439885521562
Branch id: 229, fromBus id: 75, toBus id: 70, flow2capratio: 0.12779439885521562
Branch id: 299, fromBus id: 96, toBus id: 94, flow2capratio: 0.12765961885727597
Branch id: 6, fromBus id: 3, toBus id: 5, flow2capratio: 0.12693537677259006
Branch id: 152, fromBus id: 54, toBus id: 55, flow2capratio: 0.11802486570771727
Branch id: 67, fromBus id: 28, toBus id: 27, flow2capratio: 0.11802486570771724
Branch id: 234, fromBus id: 76, toBus id: 77, flow2capratio: 0.11531733913631358
Branch id: 76, fromBus id: 17, toBus id: 31, flow2capratio: 0.11531733913631358
Branch id: 160, fromBus id: 50, toBus id: 57, flow2capratio: 0.11424296585181981
Branch id: 138, fromBus id: 49, toBus id: 50, flow2capratio: 0.11424296585181981
Branch id: 80, fromBus id: 23, toBus id: 32, flow2capratio: 0.11176677272465424
Branch id: 103, fromBus id: 39, toBus id: 37, flow2capratio: 0.10949838082029713
Branch id: 73, fromBus id: 30, toBus id: 8, flow2capratio: 0.10824971368735718
Branch id: 214, fromBus id: 69, toBus id: 70, flow2capratio: 0.10196562704262405
Branch id: 196, fromBus id: 49, toBus id: 66, flow2capratio: 0.10186153019619876
Branch id: 194, fromBus id: 49, toBus id: 66, flow2capratio: 0.10186153019619874
Branch id: 207, fromBus id: 68, toBus id: 65, flow2capratio: 0.10137965545483256
Branch id: 333, fromBus id: 106, toBus id: 100, flow2capratio: 0.10090436051167394
Branch id: 260, fromBus id: 83, toBus id: 85, flow2capratio: 0.09837939156259966
Branch id: 213, fromBus id: 69, toBus id: 68, flow2capratio: 0.09835774559499184
Branch id: 141, fromBus id: 51, toBus id: 49, flow2capratio: 0.097872875149346
Branch id: 370, fromBus id: 76, toBus id: 118, flow2capratio: 0.09584579915847752
Branch id: 310, fromBus id: 95, toBus id: 96, flow2capratio: 0.0929489386409402
Branch id: 55, fromBus id: 22, toBus id: 21, flow2capratio: 0.0929489386409402
Branch id: 57, fromBus id: 23, toBus id: 22, flow2capratio: 0.09294893864094017
Branch id: 83, fromBus id: 32, toBus id: 31, flow2capratio: 0.09273385362287141
Branch id: 347, fromBus id: 110, toBus id: 103, flow2capratio: 0.09232294261302412
Branch id: 42, fromBus id: 16, toBus id: 17, flow2capratio: 0.0921667482600621
Branch id: 38, fromBus id: 12, toBus id: 16, flow2capratio: 0.0921667482600621
Branch id: 215, fromBus id: 70, toBus id: 69, flow2capratio: 0.09044998597111457
Branch id: 59, fromBus id: 24, toBus id: 23, flow2capratio: 0.08998802114775392
Branch id: 217, fromBus id: 70, toBus id: 24, flow2capratio: 0.08989461795037337
Branch id: 104, fromBus id: 37, toBus id: 40, flow2capratio: 0.0897978091843266
Branch id: 153, fromBus id: 55, toBus id: 54, flow2capratio: 0.08964512560147123
Branch id: 121, fromBus id: 45, toBus id: 44, flow2capratio: 0.08964512560147121
Branch id: 117, fromBus id: 44, toBus id: 43, flow2capratio: 0.08964512560147121
Branch id: 135, fromBus id: 49, toBus id: 45, flow2capratio: 0.08964512560147118
Branch id: 14, fromBus id: 8, toBus id: 5, flow2capratio: 0.08743058770359258
Branch id: 204, fromBus id: 66, toBus id: 67, flow2capratio: 0.08405477361624492
Branch id: 368, fromBus id: 75, toBus id: 118, flow2capratio: 0.08398507082452085
Branch id: 192, fromBus id: 64, toBus id: 65, flow2capratio: 0.08365549063629774
Branch id: 203, fromBus id: 66, toBus id: 65, flow2capratio: 0.08148922415695901
Branch id: 245, fromBus id: 80, toBus id: 77, flow2capratio: 0.0814539750489844
Branch id: 277, fromBus id: 90, toBus id: 89, flow2capratio: 0.0813192546122278
Branch id: 332, fromBus id: 100, toBus id: 106, flow2capratio: 0.08051235705273058
Branch id: 218, fromBus id: 70, toBus id: 71, flow2capratio: 0.08048535332877566
Branch id: 295, fromBus id: 96, toBus id: 80, flow2capratio: 0.07958075821483926
Branch id: 15, fromBus id: 5, toBus id: 8, flow2capratio: 0.07920519361739528
Branch id: 348, fromBus id: 109, toBus id: 110, flow2capratio: 0.07855671646055036
Branch id: 72, fromBus id: 8, toBus id: 30, flow2capratio: 0.07712263990587774
Branch id: 149, fromBus id: 54, toBus id: 49, flow2capratio: 0.07662888997202273
Branch id: 13, fromBus id: 9, toBus id: 8, flow2capratio: 0.07608136305011894
Branch id: 190, fromBus id: 38, toBus id: 65, flow2capratio: 0.07591012657071046
Branch id: 230, fromBus id: 69, toBus id: 75, flow2capratio: 0.07331082267832773
Branch id: 92, fromBus id: 35, toBus id: 37, flow2capratio: 0.07239591182046176
Branch id: 99, fromBus id: 37, toBus id: 34, flow2capratio: 0.07148240186730927
Branch id: 143, fromBus id: 52, toBus id: 51, flow2capratio: 0.0668327847873999
Branch id: 224, fromBus id: 71, toBus id: 73, flow2capratio: 0.06636692078871788
Branch id: 134, fromBus id: 45, toBus id: 49, flow2capratio: 0.06636692078871788
Branch id: 356, fromBus id: 32, toBus id: 113, flow2capratio: 0.0649134197367235
Branch id: 355, fromBus id: 113, toBus id: 17, flow2capratio: 0.0649134197367235
Branch id: 151, fromBus id: 54, toBus id: 49, flow2capratio: 0.06437179480126068
Branch id: 269, fromBus id: 88, toBus id: 85, flow2capratio: 0.0636259434748876
Branch id: 195, fromBus id: 66, toBus id: 49, flow2capratio: 0.06320767972328833
Branch id: 197, fromBus id: 66, toBus id: 49, flow2capratio: 0.06320767969038661
Branch id: 112, fromBus id: 40, toBus id: 42, flow2capratio: 0.06273647354749042
Branch id: 45, fromBus id: 18, toBus id: 17, flow2capratio: 0.06225602436671869
Branch id: 326, fromBus id: 100, toBus id: 104, flow2capratio: 0.061401731030673846
Branch id: 331, fromBus id: 105, toBus id: 103, flow2capratio: 0.0596902258045189
Branch id: 81, fromBus id: 32, toBus id: 23, flow2capratio: 0.05942849077444377
Branch id: 216, fromBus id: 24, toBus id: 70, flow2capratio: 0.05942849077444375
Branch id: 58, fromBus id: 23, toBus id: 24, flow2capratio: 0.05942849077444375
Branch id: 12, fromBus id: 8, toBus id: 9, flow2capratio: 0.059015499370243585
Branch id: 206, fromBus id: 65, toBus id: 68, flow2capratio: 0.05883505544898458
Branch id: 225, fromBus id: 73, toBus id: 71, flow2capratio: 0.05876994910373499
Branch id: 209, fromBus id: 69, toBus id: 47, flow2capratio: 0.05876994909933999
Branch id: 125, fromBus id: 47, toBus id: 46, flow2capratio: 0.05876994909933999
Branch id: 84, fromBus id: 27, toBus id: 32, flow2capratio: 0.05858722048417075
Branch id: 148, fromBus id: 49, toBus id: 54, flow2capratio: 0.05842063300315953
Branch id: 79, fromBus id: 31, toBus id: 29, flow2capratio: 0.05767330839052719
Branch id: 219, fromBus id: 71, toBus id: 70, flow2capratio: 0.057511678589033256
Branch id: 105, fromBus id: 40, toBus id: 37, flow2capratio: 0.05736437315483218
Branch id: 113, fromBus id: 42, toBus id: 40, flow2capratio: 0.057364373154832116
Branch id: 78, fromBus id: 29, toBus id: 31, flow2capratio: 0.057272937153853946
Branch id: 43, fromBus id: 17, toBus id: 16, flow2capratio: 0.05422585487739169
Branch id: 39, fromBus id: 16, toBus id: 12, flow2capratio: 0.05422585487739169
Branch id: 147, fromBus id: 54, toBus id: 53, flow2capratio: 0.053716028335211705
Branch id: 8, fromBus id: 5, toBus id: 6, flow2capratio: 0.05356378119579906
Branch id: 247, fromBus id: 80, toBus id: 77, flow2capratio: 0.053078609755080546
