Branch id: 237, fromBus id: 77, toBus id: 69, flow2capratio: 0.20519425279394027
Branch id: 156, fromBus id: 55, toBus id: 56, flow2capratio: 0.16744504872282903
Branch id: 236, fromBus id: 69, toBus id: 77, flow2capratio: 0.15990324017723717
Branch id: 303, fromBus id: 98, toBus id: 80, flow2capratio: 0.15860116584173073
Branch id: 315, fromBus id: 100, toBus id: 98, flow2capratio: 0.14993854913629553
Branch id: 211, fromBus id: 69, toBus id: 49, flow2capratio: 0.14887537994757305
Branch id: 255, fromBus id: 82, toBus id: 77, flow2capratio: 0.1370957334591161
Branch id: 257, fromBus id: 83, toBus id: 82, flow2capratio: 0.1345048819408522
Branch id: 210, fromBus id: 49, toBus id: 69, flow2capratio: 0.13030501251208867
Branch id: 215, fromBus id: 70, toBus id: 69, flow2capratio: 0.12353681908540733
Branch id: 302, fromBus id: 80, toBus id: 98, flow2capratio: 0.1228111400404506
Branch id: 314, fromBus id: 98, toBus id: 100, flow2capratio: 0.1225379005568265
Branch id: 216, fromBus id: 24, toBus id: 70, flow2capratio: 0.11893728528385433
Branch id: 58, fromBus id: 23, toBus id: 24, flow2capratio: 0.11773225830915704
Branch id: 261, fromBus id: 85, toBus id: 83, flow2capratio: 0.11377968322744327
Branch id: 214, fromBus id: 69, toBus id: 70, flow2capratio: 0.11164377804606244
Branch id: 256, fromBus id: 82, toBus id: 83, flow2capratio: 0.10928903117537901
Branch id: 103, fromBus id: 39, toBus id: 37, flow2capratio: 0.10748017541276665
Branch id: 265, fromBus id: 86, toBus id: 85, flow2capratio: 0.10587439243735496
Branch id: 325, fromBus id: 103, toBus id: 100, flow2capratio: 0.10504059449510797
Branch id: 264, fromBus id: 85, toBus id: 86, flow2capratio: 0.10466828892683099
Branch id: 295, fromBus id: 96, toBus id: 80, flow2capratio: 0.1039350598507239
Branch id: 369, fromBus id: 118, toBus id: 75, flow2capratio: 0.1029161052949619
Branch id: 59, fromBus id: 24, toBus id: 23, flow2capratio: 0.10288937049017666
Branch id: 254, fromBus id: 77, toBus id: 82, flow2capratio: 0.10233063437864891
Branch id: 217, fromBus id: 70, toBus id: 24, flow2capratio: 0.10176948925098296
Branch id: 324, fromBus id: 100, toBus id: 103, flow2capratio: 0.1005766140665719
Branch id: 267, fromBus id: 87, toBus id: 86, flow2capratio: 0.09862152609678426
Branch id: 155, fromBus id: 56, toBus id: 54, flow2capratio: 0.09796131269374184
Branch id: 294, fromBus id: 80, toBus id: 96, flow2capratio: 0.0978953730961063
Branch id: 366, fromBus id: 12, toBus id: 117, flow2capratio: 0.09708273366654006
Branch id: 333, fromBus id: 106, toBus id: 100, flow2capratio: 0.09673928619670438
Branch id: 227, fromBus id: 74, toBus id: 70, flow2capratio: 0.09491699928607071
Branch id: 141, fromBus id: 51, toBus id: 49, flow2capratio: 0.09439068974709837
Branch id: 266, fromBus id: 86, toBus id: 87, flow2capratio: 0.09430845746933526
Branch id: 134, fromBus id: 45, toBus id: 49, flow2capratio: 0.09300379787562196
Branch id: 310, fromBus id: 95, toBus id: 96, flow2capratio: 0.09279192304154817
Branch id: 98, fromBus id: 34, toBus id: 37, flow2capratio: 0.09242193151952861
