Branch id: 0, fromBus id: 1, toBus id: 2, flow2capratio: 0.1424888469424393
Branch id: 1, fromBus id: 2, toBus id: 1, flow2capratio: 0.09296671095269032
Branch id: 2, fromBus id: 1, toBus id: 3, flow2capratio: 0.23007787460951992
Branch id: 3, fromBus id: 3, toBus id: 1, flow2capratio: 0.1544630450024234
Branch id: 4, fromBus id: 4, toBus id: 5, flow2capratio: 0.2300505659143
Branch id: 5, fromBus id: 5, toBus id: 4, flow2capratio: 0.23578505853632634
Branch id: 6, fromBus id: 3, toBus id: 5, flow2capratio: 0.20192742413318768
Branch id: 7, fromBus id: 5, toBus id: 3, flow2capratio: 0.19770667690592186
Branch id: 8, fromBus id: 5, toBus id: 6, flow2capratio: 0.21416657206386103
Branch id: 9, fromBus id: 6, toBus id: 5, flow2capratio: 0.2772794888871136
Branch id: 10, fromBus id: 6, toBus id: 7, flow2capratio: 0.20221459225041663
Branch id: 11, fromBus id: 7, toBus id: 6, flow2capratio: 0.14403550449662234
Branch id: 12, fromBus id: 8, toBus id: 9, flow2capratio: 0.11521369679883131
Branch id: 13, fromBus id: 9, toBus id: 8, flow2capratio: 0.12263945804084615
Branch id: 14, fromBus id: 8, toBus id: 5, flow2capratio: 0.11824241759463563
Branch id: 15, fromBus id: 5, toBus id: 8, flow2capratio: 0.12128007248397596
Branch id: 16, fromBus id: 9, toBus id: 10, flow2capratio: 0.11530341545517418
Branch id: 17, fromBus id: 10, toBus id: 9, flow2capratio: 0.12029541481864567
Branch id: 18, fromBus id: 4, toBus id: 11, flow2capratio: 0.10378658857097653
Branch id: 19, fromBus id: 11, toBus id: 4, flow2capratio: 0.043808771895784186
Branch id: 20, fromBus id: 5, toBus id: 11, flow2capratio: 0.1602378517191119
Branch id: 21, fromBus id: 11, toBus id: 5, flow2capratio: 0.11282751278805771
Branch id: 22, fromBus id: 11, toBus id: 12, flow2capratio: 0.1262557312297543
Branch id: 23, fromBus id: 12, toBus id: 11, flow2capratio: 0.12933614723447437
Branch id: 24, fromBus id: 2, toBus id: 12, flow2capratio: 0.25217340237090163
Branch id: 25, fromBus id: 12, toBus id: 2, flow2capratio: 0.12870212770512063
Branch id: 26, fromBus id: 3, toBus id: 12, flow2capratio: 0.08029270271105707
Branch id: 27, fromBus id: 12, toBus id: 3, flow2capratio: 0.06785943189959961
Branch id: 28, fromBus id: 7, toBus id: 12, flow2capratio: 0.20685470371072334
Branch id: 29, fromBus id: 12, toBus id: 7, flow2capratio: 0.06864574704417126
Branch id: 30, fromBus id: 11, toBus id: 13, flow2capratio: 0.15147895410440712
Branch id: 31, fromBus id: 13, toBus id: 11, flow2capratio: 0.06777264586156241
Branch id: 32, fromBus id: 12, toBus id: 14, flow2capratio: 0.17426830766320794
Branch id: 33, fromBus id: 14, toBus id: 12, flow2capratio: 0.13337971164004145
Branch id: 34, fromBus id: 13, toBus id: 15, flow2capratio: 0.1960688665691086
Branch id: 35, fromBus id: 15, toBus id: 13, flow2capratio: 0.08991310703537003
Branch id: 36, fromBus id: 14, toBus id: 15, flow2capratio: 0.2235900543057981
Branch id: 37, fromBus id: 15, toBus id: 14, flow2capratio: 0.14483818910599053
Branch id: 38, fromBus id: 12, toBus id: 16, flow2capratio: 0.20393753446080892
Branch id: 39, fromBus id: 16, toBus id: 12, flow2capratio: 0.14072971585720437
Branch id: 40, fromBus id: 15, toBus id: 17, flow2capratio: 0.1930978797017495
Branch id: 41, fromBus id: 17, toBus id: 15, flow2capratio: 0.13677650104713554
Branch id: 42, fromBus id: 16, toBus id: 17, flow2capratio: 0.2574801325256773
Branch id: 43, fromBus id: 17, toBus id: 16, flow2capratio: 0.1613083977315758
Branch id: 44, fromBus id: 17, toBus id: 18, flow2capratio: 0.1572509302033752
Branch id: 45, fromBus id: 18, toBus id: 17, flow2capratio: 0.21395611219056002
Branch id: 46, fromBus id: 18, toBus id: 19, flow2capratio: 0.1241199892715281
Branch id: 47, fromBus id: 19, toBus id: 18, flow2capratio: 0.12816585561176486
Branch id: 48, fromBus id: 19, toBus id: 20, flow2capratio: 0.13911848629033932
Branch id: 49, fromBus id: 20, toBus id: 19, flow2capratio: 0.2180905445148259
Branch id: 50, fromBus id: 15, toBus id: 19, flow2capratio: 0.1510894343763072
Branch id: 51, fromBus id: 19, toBus id: 15, flow2capratio: 0.16422300372340737
Branch id: 52, fromBus id: 20, toBus id: 21, flow2capratio: 0.12149184096733684
Branch id: 53, fromBus id: 21, toBus id: 20, flow2capratio: 0.16639806626218065
Branch id: 54, fromBus id: 21, toBus id: 22, flow2capratio: 0.16325480034266193
Branch id: 55, fromBus id: 22, toBus id: 21, flow2capratio: 0.16651232494348853
Branch id: 56, fromBus id: 22, toBus id: 23, flow2capratio: 0.24019996102798744
Branch id: 57, fromBus id: 23, toBus id: 22, flow2capratio: 0.18225416121813534
Branch id: 58, fromBus id: 23, toBus id: 24, flow2capratio: 0.31338237478587805
Branch id: 59, fromBus id: 24, toBus id: 23, flow2capratio: 0.2669528359129357
Branch id: 60, fromBus id: 23, toBus id: 25, flow2capratio: 0.13641502469923977
Branch id: 61, fromBus id: 25, toBus id: 23, flow2capratio: 0.19238022600332166
Branch id: 62, fromBus id: 26, toBus id: 25, flow2capratio: 0.08962059939252373
Branch id: 63, fromBus id: 25, toBus id: 26, flow2capratio: 0.07124125664310063
Branch id: 64, fromBus id: 25, toBus id: 27, flow2capratio: 0.18270138591064633
Branch id: 65, fromBus id: 27, toBus id: 25, flow2capratio: 0.20032172486170421
Branch id: 66, fromBus id: 27, toBus id: 28, flow2capratio: 0.1421343697701519
Branch id: 67, fromBus id: 28, toBus id: 27, flow2capratio: 0.24611480292435148
Branch id: 68, fromBus id: 28, toBus id: 29, flow2capratio: 0.10217801386990515
Branch id: 69, fromBus id: 29, toBus id: 28, flow2capratio: 0.14606208706879065
Branch id: 70, fromBus id: 30, toBus id: 17, flow2capratio: 0.09955566783024873
Branch id: 71, fromBus id: 17, toBus id: 30, flow2capratio: 0.1233784848413444
Branch id: 72, fromBus id: 8, toBus id: 30, flow2capratio: 0.1508722785105735
Branch id: 73, fromBus id: 30, toBus id: 8, flow2capratio: 0.13633644308545104
Branch id: 74, fromBus id: 26, toBus id: 30, flow2capratio: 0.09792504157257298
Branch id: 75, fromBus id: 30, toBus id: 26, flow2capratio: 0.08845458865358549
Branch id: 76, fromBus id: 17, toBus id: 31, flow2capratio: 0.16748452592458066
Branch id: 77, fromBus id: 31, toBus id: 17, flow2capratio: 0.2083054568157459
Branch id: 78, fromBus id: 29, toBus id: 31, flow2capratio: 0.22427242041203194
Branch id: 79, fromBus id: 31, toBus id: 29, flow2capratio: 0.16963566873764935
Branch id: 80, fromBus id: 23, toBus id: 32, flow2capratio: 0.20276758897324346
Branch id: 81, fromBus id: 32, toBus id: 23, flow2capratio: 0.2373860844523859
Branch id: 82, fromBus id: 31, toBus id: 32, flow2capratio: 0.1946512671003082
Branch id: 83, fromBus id: 32, toBus id: 31, flow2capratio: 0.10783935234054294
Branch id: 84, fromBus id: 27, toBus id: 32, flow2capratio: 0.2010266525149528
Branch id: 85, fromBus id: 32, toBus id: 27, flow2capratio: 0.12331428509331704
Branch id: 86, fromBus id: 15, toBus id: 33, flow2capratio: 0.1558447753369404
Branch id: 87, fromBus id: 33, toBus id: 15, flow2capratio: 0.12570788732741472
Branch id: 88, fromBus id: 19, toBus id: 34, flow2capratio: 0.20045236608480793
Branch id: 89, fromBus id: 34, toBus id: 19, flow2capratio: 0.14302625135166155
Branch id: 90, fromBus id: 35, toBus id: 36, flow2capratio: 0.1342909977331481
Branch id: 91, fromBus id: 36, toBus id: 35, flow2capratio: 0.09842516673724598
Branch id: 92, fromBus id: 35, toBus id: 37, flow2capratio: 0.2752180118210402
Branch id: 93, fromBus id: 37, toBus id: 35, flow2capratio: 0.17553039575978896
Branch id: 94, fromBus id: 33, toBus id: 37, flow2capratio: 0.21182554421377378
